Modalidad de Contratacion,Fecha de Publicacion del Proceso,Referencia del Proceso,Número de Proceso,Descripción del Procedimiento,Cuantía,Unidad de Contratación,URLProceso
Contratación directa,30/12/2018,82017518,Prestar servicios profesionales jurídicos para analizar y sustanciar las actuaciones que sean necesarias dentro de los radicados que resuelvan los trámites que le sean asignados a través del sistema,Prestar servicios profesionales jurídicos para analizar y sustanciar las actuaciones que sean necesarias dentro de los radicados que resuelvan los trámites que le sean asignados a través del sistema que la entidad disponga para ello en el marco de la gestión de trámites a cargo de la Dirección Territorial Norte.,18928000,DIRECCION TERRITORIAL NORTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.640303&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,26/01/2021,84002721,El Contratista se obliga a prestar los servicios en notificaciones de los actos administrativos.,El Contratista se obliga a prestar los servicios en notificaciones de los actos administrativos.,29880000,DIRECCION TERRITORIAL ORIENTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1694325&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,16/01/2020,81001420,Prestar servicios profesionales jurídicos para analizar y sustanciar las actuaciones que sean necesarias dentro de los radicados que resuelvan los trámites que le sean asignados a través del sistema q,Prestar servicios profesionales jurídicos para analizar y sustanciar las actuaciones que sean necesarias dentro de los radicados que resuelvan los trámites que le sean asignados a través del sistema que la entidad disponga para ello en el marco de la gestión de trámites a cargo de la Dirección Territorial Centro...,39325400,DIRECCCION TERRITORIAL CENTRO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1043883&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,18/01/2019,80000619,"Prestar los servicios profesionales a la Dirección General Territorial para la gestión y correcta aplicación de las directrices, procedimientos y conceptos emitidos por la Oficina Asesora Jurídica o e","Prestar los servicios profesionales a la Dirección General Territorial para la gestión y correcta aplicación de las directrices, procedimientos y conceptos emitidos por la Oficina Asesora Jurídica o entidad rectora en materia de servicios públicos domiciliarios respecto de los asuntos jurídicos que deban tener en cuenta la Dirección General Territorial y las direcciones territoriales, con el fin de garantizar la calidad de la atención de los trámites.",91738644,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.670601&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,26/01/2021,020000821,Prestar los servicios profesionales en la Dirección de Investigaciones para Energía y Gas Combustible con el fin de analizar y adelantar las actuaciones administrativas e investigaciones encaminadas a,"Prestar los servicios profesionales en la Dirección de Investigaciones para
Energía y Gas Combustible con el fin de analizar y adelantar las actuaciones administrativas
e investigaciones encaminadas a identificar la posible vulneración del régimen legal y
regulatorio aplicable a las empresas que prestan servicios públicos domiciliarios de energía
y gas",48999990,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1694812&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,17/01/2019,012000819,"Prestar servicios profesionales a la Oficina Asesora de Planeación en el cierre de brechas del Sistema de gestión Ambiental y al Sistema de Gestión en Seguridad y Salud en el Trabajo, garantizando el","Prestar servicios profesionales a la Oficina Asesora de Planeación en el cierre de brechas del Sistema de gestión Ambiental y al Sistema de Gestión en Seguridad y Salud en el Trabajo, garantizando el cumplimiento de los numerales de la norma ISO 14001: 2015 y el Decreto 1072 de 2015 de conformidad con el Sistema de Seguridad y Salud en el Trabajo, armonizados con el Sistema Integrado de Gestión y Mejora  SIGME.",77293306,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.668789&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,14/01/2020,12001220,"Prestar servicios profesionales a la Oficina Asesora de Planeación en el fortalecimiento del Sistema de Gestión Ambiental mediante la planificación de un estándar complementario, garantizando el cumpl","Prestar servicios profesionales a la Oficina Asesora de Planeación en el fortalecimiento del Sistema de Gestión Ambiental mediante la planificación de un estándar complementario, garantizando el cumplimiento de los numerales de la norma ISO 14001: 2015 y contribuyendo a la mejora continua del Sistema Integrado de Gestión y Mejora de la Superservicios",82408306,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1039503&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,24/06/2020,40019320,"Prestar sus servicios profesionales desde el componente técnico para apoyar el diagnóstico de los prestadores de la región seleccionada, en el marco del proyecto de inversión Desarrollo de un esquema","Prestar sus servicios profesionales desde el componente técnico para apoyar el diagnóstico de los prestadores de la región seleccionada, en el marco del proyecto de inversión Desarrollo de un esquema para la vigilancia, inspección y control a los prestadores de acueducto, alcantarillado y aseo de áreas rurales",26572000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1304936&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,04/02/2021,016002921,El contratista se obliga a prestar sus servicios profesionales a la Oficina de Tecnologías de la Información y las Comunicaciones realizando la definición y especificación de los requisitos funcionale,"El contratista se obliga a prestar sus servicios profesionales a la Oficina de Tecnologías de la Información y las Comunicaciones realizando la definición y especificación de los requisitos funcionales y no funcionales según las necesidades de las áreas, así como las pruebas de las aplicaciones de los sistemas de información que le sean asignados de acuerdo con los lineamientos definidos en el proceso de Gestión de Tecnologías de la Información y alineado al proyecto de inversión Fortalecimiento",53559972,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1735303&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,21/01/2019,13002719,"EL CONTRATISTA se obliga para con LA CONTRATANTE (en adelante la SSPD) a prestar de manera independiente y con sus propios recursos, con absoluta autonomía técnica y directiva, sus servicios profesion","EL CONTRATISTA se obliga para con LA CONTRATANTE (en adelante la SSPD) a prestar de manera independiente y con sus propios recursos, con absoluta autonomía técnica y directiva, sus servicios profesionales para ejercer la representación judicial de la Superintendencia de Servicios Públicos Domiciliarios (SSPD), con relación a los procesos prejurídicos y jurídicos en los que la SSPD actúe como accionante o como accionada y que le sean asignados mediante acta de entrega en la que se identificarán d",59106653,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.676908&isFromPublicArea=True&isModal=true&asPopupView=true
Mínima cuantía,27/02/2019,SSDP MC 006 DE 2019,"Prestar el servicio de mantenimiento preventivo y correctivo (con suministro de repuestos) de dos (2) ascensores marca LG  SIGMA modernizados, incluyendo el servicio técnico","Prestar el servicio de mantenimiento preventivo y correctivo (con suministro de repuestos) de dos (2) ascensores marca LG  SIGMA modernizados, incluyendo el servicio técnico, en el edificio de la Sede Central de la Superservicios ubicada en la Carrera 18 # 84  35 de la ciudad de Bogotá D.C.",37250000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.760312&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,19/01/2021,013002121,"Prestar servicios profesionales para ejercer la representación judicial de la SSPD, en los procesos prejurídicos y jurídicos en los que la entidad actúe como accionante o como accionada y que le sean","Prestar servicios profesionales para ejercer la representación judicial de la SSPD, en los procesos prejurídicos y jurídicos en los que la entidad actúe como accionante o como accionada y que le sean asignados por parte del Coordinador del Grupo de Defensa Judicial.",55999976,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1670097&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,30/07/2018,60001518,Prestar servicios profesionales a la Dirección de Entidades Intervenidas y en Liquidación_YECYD ALFONSO PARDO VILLABA,"Prestar servicios profesionales a la Dirección de Entidades Intervenidas y en Liquidación, apoyando el desarrollo de las actividades del proceso de intervención, en especial brindando apoyo en los aspectos jurídicos de los procesos de toma de posesión que adelanta la Superservicios, de conformidad con la Ley 142 de 1994.",20395200,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.485713&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,25/06/2018,52009918,Adquirir suscripción al diario El Espectador  de conformidad con lo establecido en las condiciones que se exigieran al contratista,Adquirir suscripción al diario El Espectador  de conformidad con lo establecido en las condiciones que se exigieran al contratista,395000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.452155&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,02/02/2021,040000821,"Prestar servicios profesionales para apoyar el seguimiento y control de los aspectos tarifarios derivados de los procesos de inspección, vigilancia y control de los prestadores del servicio público de","Prestar servicios profesionales para apoyar el seguimiento y control de los aspectos tarifarios derivados de los procesos de inspección, vigilancia y control de los prestadores del servicio público de aseo.",64800000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1725477&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,06/03/2019,016003719,"El contratista se obliga a prestar sus servicios profesionales a la Oficina de Informática, en la ejecución de las actividades relacionadas con la atención, gestión y solución de las solicitudes de so","El contratista se obliga a prestar sus servicios profesionales a la Oficina de Informática, en la ejecución de las actividades relacionadas con la atención, gestión y solución de las solicitudes de soporte técnico segundo nivel que le sean asignadas, en atención a los lineamientos de la Oficina de Informática y al proceso de Gestión de Tecnologías de la Información.",34554449,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.769800&isFromPublicArea=True&isModal=true&asPopupView=true
Selección abreviada subasta inversa,19/09/2019,SSPD-SA-013-2019,Prestar el servicio de Fotocopiado en la Modalidad de Outsourcing para las Sedes de la SUPERSERVICIOS ubicadas en la Carrera 18 No 84 - 35 y Avenida Calle 19 No 13A-12 en la ciudad de Bogotá D.C,Prestar el servicio de Fotocopiado en la Modalidad de Outsourcing para las Sedes de la SUPERSERVICIOS ubicadas en la Carrera 18 No 84 - 35 y Avenida Calle 19 No 13A-12 en la ciudad de Bogotá D.C,77144822,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.934406&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,28/01/2020,80004920,Prestar los servicios profesionales en los temas relacionados con el seguimiento y control financiero y de gestión del proyecto de inversión: optimización de los procesos y mecanismos de participació,Prestar los servicios profesionales en los temas relacionados con el seguimiento y control financiero y de gestión del proyecto de inversión: optimización de los procesos y mecanismos de participación ciudadana en servicios públicos domiciliarios.,41766657,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1069801&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,30/01/2020,83001820.,PRESTACION DE SERVICIOS PROFESIONALES  JURÍDICOS PARA ANALIZAR Y SUSTANCIAR LAS ACTUACIONES QUE SEAN NECESARIAS,"Prestar servicios profesionales jurídicos para analizar y sustanciar las actuaciones que sean necesarias, en los radicados que resuelvan los trámites y que le sean asignados a través del sistema que la entidad disponga para ello.",36733320,DIRECCION TERRITORIAL OCCIDENTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1073693&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,18/01/2021,82000621,Prestar servicios profesionales jurídicos para analizar y sustanciar las actuaciones que sean necesarias dentro de los radicados que resuelvan los trámites que le sean asignados a través del sistema q,Prestar servicios profesionales jurídicos para analizar y sustanciar las actuaciones que sean necesarias dentro de los radicados que resuelvan los trámites que le sean asignados a través del sistema que la entidad disponga para ello.,45733329,DIRECCION TERRITORIAL NORTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1668134&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,31/01/2020,80005920,"Prestar los servicios profesionales a la Dirección General Territorial en los temas relacionados con la estrategia de servicio y participación ciudadana y control social, en el desarrollo de actividad","Prestar los servicios profesionales a la Dirección General Territorial en los temas relacionados con la estrategia de servicio y participación ciudadana y control social, en el desarrollo de actividades afines al fortalecimiento de los canales de atención y la elaboración de un documento técnico de innovación pública para el empoderamiento ciudadano frente al ejercicio del control social",66400000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1077500&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,06/02/2020,85003820,"Apoyar la implementación de los procesos de empoderamiento ciudadano en el territorio en relación a la fiscalización de los servicios públicos domiciliarios, mediante la orientación personalizada a lo","Apoyar la implementación de los procesos de empoderamiento ciudadano en el territorio en relación a la fiscalización de los servicios públicos domiciliarios, mediante la orientación personalizada a los usuarios",26700656,DIRECCION TERRITORIAL SUROCCIDENTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1090785&isFromPublicArea=True&isModal=true&asPopupView=true
Mínima cuantía,07/05/2020,SSPD MC 014 2020,Prestar el servicio de Área protegida para atención de urgencia y/o emergencia de los colaboradores y visitantes,"Prestar el servicio de Área protegida para atención de urgencia y/o emergencia de los colaboradores y visitantes, con el fin de proteger, brindar atención y acompañamiento a colaboradores y visitantes, que reporte un evento de salud el cual amerite atención oportuna, en las diferentes sedes de la Superintendencia de Servicios Públicos Domiciliarios, ubicadas en las ciudades de Bogotá, Cali, Bucaramanga, Medellín y Barranquilla, de conformidad con las especificaciones técnicas.",21193200,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1234832&isFromPublicArea=True&isModal=true&asPopupView=true
